eventID,occurrenceID,eventDate,verbatimIdentification,occurrenceStatus,basisOfRecord,individualCount,associatedOccurrence,scientficName,taxonRank,kingdom,phylum,class,order,family,genus,scientificNameID
AT357_20140504_AT26144706059C,AT26-14-4706-059C_1,2014-05-04,No individuals,absent,HumanObservation,0,Octocoral,NA,NA,NA,NA,NA,NA,NA,NA,"NA, urn:lsid:itis.gov:itis_tsn: NA"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_1,2010-10-16,Aberrantidae,present,HumanObservation,1,Madrepora,Aberrantidae,Family,Animalia,Annelida,Polychaeta,NA,Aberrantidae,NA,"urn:lsid:marinespecies.org:taxname:233984, urn:lsid:itis.gov:itis_tsn: 555684"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_2,2010-10-16,Cirratulidae,present,HumanObservation,1,Madrepora,Cirratulidae,Family,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,"urn:lsid:marinespecies.org:taxname:919, urn:lsid:itis.gov:itis_tsn: 67116"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_3,2010-10-16,Colletteidae,present,HumanObservation,1,Madrepora,Colletteidae,Family,Animalia,Arthropoda,Malacostraca,Tanaidacea,Colletteidae,NA,"urn:lsid:marinespecies.org:taxname:237595, urn:lsid:itis.gov:itis_tsn: 621525"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_4,2010-10-16,Hydrozoa,present,HumanObservation,1,Madrepora,Hydrozoa,Class,Animalia,Cnidaria,Hydrozoa,NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1337, urn:lsid:itis.gov:itis_tsn: 48739"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_5,2010-10-16,Opheliidae,present,HumanObservation,2,Madrepora,Opheliidae,Family,Animalia,Annelida,Polychaeta,NA,Opheliidae,NA,"urn:lsid:marinespecies.org:taxname:924, urn:lsid:itis.gov:itis_tsn: 67342"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_6,2010-10-16,Sipuncula,present,HumanObservation,3,Madrepora,Sipuncula,Order,Animalia,Annelida,NA,Sipuncula,NA,NA,"urn:lsid:marinespecies.org:taxname:1268, urn:lsid:itis.gov:itis_tsn: 154520"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_7,2010-10-16,Spionidae,present,HumanObservation,5,Madrepora,Spionidae,Family,Animalia,Annelida,Polychaeta,Spionida,Spionidae,NA,"urn:lsid:marinespecies.org:taxname:913, urn:lsid:itis.gov:itis_tsn: 66781"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_8,2010-10-16,Syllidae,present,HumanObservation,1,Madrepora,Syllidae,Family,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,NA,"urn:lsid:marinespecies.org:taxname:948, urn:lsid:itis.gov:itis_tsn: 65587"
MC885_20101016_LII10GOM4007,LII-10-GOM-4007_9,2010-10-16,Tanaidacea,present,HumanObservation,2,Madrepora,Tanaidacea,Order,Animalia,Arthropoda,Malacostraca,Tanaidacea,NA,NA,"urn:lsid:marinespecies.org:taxname:1133, urn:lsid:itis.gov:itis_tsn: 91061"
MC885_20101016_LII10GOM4008,LII-10-GOM-4008_1,2010-10-16,Chaetodermatidae,present,HumanObservation,1,Madrepora,Chaetodermatidae,Family,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,NA,"urn:lsid:marinespecies.org:taxname:2089, urn:lsid:itis.gov:itis_tsn: 79079"
MC885_20101016_LII10GOM4008,LII-10-GOM-4008_2,2010-10-16,Dorvilleidae,present,HumanObservation,1,Madrepora,Dorvilleidae,Family,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,NA,"urn:lsid:marinespecies.org:taxname:971, urn:lsid:itis.gov:itis_tsn: 66478"
MC885_20101016_LII10GOM4008,LII-10-GOM-4008_3,2010-10-16,Paraonidae,present,HumanObservation,4,Madrepora,Paraonidae,Family,Animalia,Annelida,Polychaeta,NA,Paraonidae,NA,"urn:lsid:marinespecies.org:taxname:903, urn:lsid:itis.gov:itis_tsn: 66659"
MC885_20101016_LII10GOM4009,LII-10-GOM-4009_1,2010-10-16,No individuals,absent,HumanObservation,0,Madrepora,NA,NA,NA,NA,NA,NA,NA,NA,"NA, urn:lsid:itis.gov:itis_tsn: NA"
